exp,arch,seed,macro_f1,accuracy,temperature,d3b_rate,d3b_conf,d3c_rate,d3c_conf,d3c_median_glioma
E001,ResNet18,42,0.9546127394877477,0.9543292102759277,1.2699434757232666,0.30943396226415093,0.7020393888905363,0.801311475409836,0.8563772697624613,0.8882547914981842
E001,ResNet18,43,0.967658618333501,0.9676498572787822,1.2225964069366455,0.46037735849056605,0.6769203336733692,0.6331147540983607,0.7395000895320392,0.6045236587524414
E001,ResNet18,44,0.9714697976994604,0.9714557564224549,1.1724852323532104,0.32452830188679244,0.7272932134709268,0.6540983606557377,0.7512266432261858,0.6432000398635864
E001,ResNet18,45,0.9723142220762209,0.972407231208373,1.3113298416137695,0.5924528301886792,0.7669553852306222,0.661311475409836,0.8218716161466035,0.7469808757305145
E001,ResNet18,46,0.9650036132349487,0.9647954329210275,1.1519238948822021,0.32452830188679244,0.6958283079120348,0.6219672131147541,0.7493905672284423,0.6063039302825928
E002,EfficientNet-B0,42,0.9743830498020529,0.9743101807802094,1.274009346961975,0.5962264150943396,0.7552997084158771,0.4577049180327869,0.8631743008680031,0.359183132648468
E002,EfficientNet-B0,43,0.9648847091660329,0.9647954329210275,1.3075844049453735,0.22264150943396227,0.7670271575450898,0.6118032786885246,0.8360439942410735,0.7162501215934753
E002,EfficientNet-B0,44,0.9632321634201334,0.9628924833491912,1.1760013103485107,0.38113207547169814,0.7259235732960251,0.5255737704918033,0.7950278689529074,0.49324503540992737
E002,EfficientNet-B0,45,0.966102354147641,0.9657469077069457,1.0700377225875854,0.3132075471698113,0.6913523948417519,0.4524590163934426,0.7367659653503387,0.35391634702682495
E002,EfficientNet-B0,46,0.9678447182956716,0.9676498572787822,1.3039878606796265,0.3283018867924528,0.7134689653819462,0.521311475409836,0.8264364227212844,0.49907882511615753
E003,ViT-B/16,42,0.9536706659717851,0.9533777354900095,1.2579891681671143,0.23773584905660378,0.7459702004801553,0.46295081967213114,0.8041195082371352,0.37685658037662506
E003,ViT-B/16,43,0.9564624103224699,0.956232159847764,1.2185307741165161,0.24528301886792453,0.7965352714061738,0.21016393442622952,0.9017514938702349,0.01935526542365551
E003,ViT-B/16,44,0.9588444311684694,0.9590865842055185,1.2295002937316895,0.3283018867924528,0.7518862809775011,0.20852459016393443,0.8383694144839146,0.026085720397531986
E003,ViT-B/16,45,0.9564200495238833,0.956232159847764,1.233862042427063,0.2830188679245283,0.8172165785195693,0.25016393442622953,0.869682278994654,0.07282812520861626
E003,ViT-B/16,46,0.95290738795432,0.9524262607040913,1.230566382408142,0.1509433962264151,0.7988782645396466,0.1855737704918033,0.8838755464260696,0.013244775123894215
