experiment_id,architecture,n_seeds,full_accuracy_mean,full_accuracy_sd,full_balanced_accuracy_mean,full_balanced_accuracy_sd,full_macro_f1_mean,full_macro_f1_sd,clean_accuracy_mean,clean_accuracy_sd,clean_balanced_accuracy_mean,clean_balanced_accuracy_sd,clean_macro_f1_mean,clean_macro_f1_sd,delta_accuracy_mean,delta_accuracy_sd,delta_balanced_accuracy_mean,delta_balanced_accuracy_sd,delta_macro_f1_mean,delta_macro_f1_sd,git_commit,split_csv_sha256,d1_phash_sha256,contamination_distance,crossing_pairs,excluded_test_images
E001,ResNet18,5,0.966127497621313,0.007264932128951922,0.9659107746619331,0.007133724019456475,0.9662117981663757,0.007123505076859141,0.960880195599022,0.008513684766004968,0.9620726807753881,0.008748970590398942,0.9622693280962018,0.00842591305356561,-0.005247302022291045,0.0020717547395970935,-0.003838093886544813,0.0020575452542727054,-0.003942470070173965,0.0020145089761984627,30e0022066127f0e49f28a304eaef2f5c0e874b5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,6,371,233
E002,EfficientNet-B0,5,0.9670789724072313,0.004391239109120622,0.9668716674754532,0.00442314638217735,0.9672893989663063,0.00430932217556438,0.9603911980440099,0.005370631451464268,0.9616407779527354,0.005137835867583012,0.9617346088295452,0.005071201587897748,-0.006687774363221388,0.00106513372868417,-0.005230889522717686,0.0009267436250121393,-0.005554790136761212,0.0009361880918547572,30e0022066127f0e49f28a304eaef2f5c0e874b5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,6,371,233
E003,ViT-B/16,5,0.9554709800190295,0.0026402353806872663,0.9551504019514491,0.002654263279602894,0.9556609889881855,0.0023925121488944136,0.9486552567237163,0.0046551180353691405,0.9501363746134267,0.004913359228094835,0.9497131506426694,0.004530043819451793,-0.0068157232953130805,0.0025574785825277103,-0.00501402733802252,0.0027084350637787973,-0.005947838345516043,0.0026177665811768325,30e0022066127f0e49f28a304eaef2f5c0e874b5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,6,371,233
