git_commit,split_csv_sha256,label_scope,feature_set,features,classifier,split,n_train,n_eval,accuracy,macro_f1,majority_class_floor,recall_glioma,recall_meningioma,recall_notumor,recall_pituitary
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,val,4909,1053,0.5394112060778727,0.5351390777312903,0.25546058879392214,0.5724907063197026,0.2808988764044944,0.6388888888888888,0.6716981132075471
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,test,4909,1051,0.5309229305423406,0.5249116465949083,0.2559467174119886,0.5762081784386617,0.26217228464419473,0.6374501992031872,0.6553030303030303
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,decision_tree,val,4909,1053,0.5299145299145299,0.5127019545372908,0.25546058879392214,0.38661710037174724,0.23220973782771537,0.7579365079365079,0.7584905660377359
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,decision_tree,test,4909,1051,0.5223596574690771,0.508658351599151,0.2559467174119886,0.3754646840148699,0.25842696629213485,0.7250996015936255,0.7462121212121212
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,logistic_regression,val,4909,1053,0.4843304843304843,0.4813425392567566,0.25546058879392214,0.587360594795539,0.2883895131086142,0.6666666666666666,0.4037735849056604
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,logistic_regression,test,4909,1051,0.48430066603235017,0.48213559004146817,0.2559467174119886,0.5539033457249071,0.26591760299625467,0.6533864541832669,0.4734848484848485
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,geometry_control,width|height,decision_tree,val,4909,1053,0.4567901234567901,0.35719030606852203,0.25546058879392214,0.9479553903345725,0.018726591760299626,0.876984126984127,0.0
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,geometry_control,width|height,decision_tree,test,4909,1051,0.4548049476688868,0.3558913658645807,0.2559467174119886,0.9516728624535316,0.011235955056179775,0.8685258964143426,0.003787878787878788
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,geometry_control,width|height,logistic_regression,val,4909,1053,0.42735042735042733,0.32763330621012354,0.25546058879392214,0.9553903345724907,0.003745318352059925,0.7619047619047619,0.0
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,geometry_control,width|height,logistic_regression,test,4909,1051,0.4329210275927688,0.33641452508395986,0.2559467174119886,0.9553903345724907,0.003745318352059925,0.7768924302788844,0.007575757575757576
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,val,3731,801,0.6579275905118602,0.6611478075424532,0.3358302122347066,0.5018587360594795,0.7528089887640449,,0.720754716981132
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,test,3731,800,0.6825,0.6861380132831617,0.33625,0.5427509293680297,0.7602996254681648,,0.7462121212121212
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,val,3731,801,0.5692883895131086,0.5658281634434544,0.3358302122347066,0.5613382899628253,0.4606741573033708,,0.6867924528301886
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,test,3731,800,0.5575,0.554555134686316,0.33625,0.5687732342007435,0.449438202247191,,0.6553030303030303
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_3_strict,n_zero|max_intensity|bbox_aspect,decision_tree,val,3731,801,0.6454431960049938,0.6482230727173318,0.3358302122347066,0.49070631970260226,0.7228464419475655,,0.7245283018867924
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_3_strict,n_zero|max_intensity|bbox_aspect,decision_tree,test,3731,800,0.67375,0.6766026472759132,0.33625,0.5278810408921933,0.7490636704119851,,0.7462121212121212
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_3_strict,n_zero|max_intensity|bbox_aspect,logistic_regression,val,3731,801,0.47440699126092384,0.47153051352520237,0.3358302122347066,0.5910780669144982,0.35580524344569286,,0.47547169811320755
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,wallis_3_strict,n_zero|max_intensity|bbox_aspect,logistic_regression,test,3731,800,0.50875,0.5027267903674785,0.33625,0.6319702602230484,0.36329588014981273,,0.5303030303030303
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,val,3731,801,0.686641697877653,0.6862645054706196,0.3358302122347066,0.7360594795539034,0.6104868913857678,,0.7132075471698113
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,test,3731,800,0.67,0.6683818496955256,0.33625,0.7509293680297398,0.5243445692883895,,0.7348484848484849
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,val,3731,801,0.5717852684144819,0.5684299136664155,0.3358302122347066,0.5687732342007435,0.4606741573033708,,0.6867924528301886
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,test,3731,800,0.5575,0.5542533793919263,0.33625,0.5576208178438662,0.449438202247191,,0.6666666666666666
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,shape_only,bbox_aspect|bbox_fill,decision_tree,val,3731,801,0.519350811485643,0.5116649526288081,0.3358302122347066,0.4944237918215613,0.34831460674157305,,0.7169811320754716
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,shape_only,bbox_aspect|bbox_fill,decision_tree,test,3731,800,0.51375,0.5077593558923805,0.33625,0.4721189591078067,0.3782771535580524,,0.6931818181818182
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,shape_only,bbox_aspect|bbox_fill,logistic_regression,val,3731,801,0.49063670411985016,0.4869803062290177,0.3358302122347066,0.5947955390334573,0.49063670411985016,,0.3849056603773585
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,shape_only,bbox_aspect|bbox_fill,logistic_regression,test,3731,800,0.4925,0.49165075688343185,0.33625,0.5576208178438662,0.4681647940074906,,0.45075757575757575
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,geometry_control,width|height,decision_tree,val,3731,801,0.34831460674157305,0.2190681996565489,0.3358302122347066,0.9516728624535316,0.04868913857677903,,0.03773584905660377
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,geometry_control,width|height,decision_tree,test,3731,800,0.34625,0.2088613285998315,0.33625,0.9628252788104089,0.03745318352059925,,0.030303030303030304
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,geometry_control,width|height,logistic_regression,val,3731,801,0.33083645443196,0.18524222667145815,0.3358302122347066,0.9516728624535316,0.033707865168539325,,0.0
89fd350588250d9515bf224a5101a9f0e23efbc5,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,three_class_refit,geometry_control,width|height,logistic_regression,test,3731,800,0.3325,0.1859141527262075,0.33625,0.9553903345724907,0.026217228464419477,,0.007575757575757576
