x,y,n_runs,r_pooled,r_between_architecture,r_within_architecture
test_macro_f1,d3b_glioma_rate,15,0.7564,0.9563,0.6636
test_macro_f1,d3c_glioma_rate,15,0.4742,0.886,-0.5144
