experiment_id,architecture,seed,run_id,git_commit,checkpoint_sha256,split_csv_sha256,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,f1_glioma,recall_glioma,f1_meningioma,recall_meningioma,f1_notumor,recall_notumor,f1_pituitary,recall_pituitary,temperature,ece_raw,nll_raw,brier_raw,d3b_glioma_rate,d3b_patient_majority_rate,d3b_mean_confidence,d3b_mean_entropy,d3b_mean_glioma_prob,d3b_median_glioma_prob,d3b_n_slices,d3b_n_patients,d3b_pred_glioma,d3b_pred_meningioma,d3b_pred_notumor,d3b_pred_pituitary,d3c_glioma_rate,d3c_patient_majority_rate,d3c_mean_confidence,d3c_mean_entropy,d3c_mean_glioma_prob,d3c_median_glioma_prob,d3c_n_slices,d3c_n_patients,d3c_pred_glioma,d3c_pred_meningioma,d3c_pred_notumor,d3c_pred_pituitary
E001,ResNet18,42,2026-08-sweep-a,4ec3a01d51ff,3451f1c66cdf,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,6,0.9659831604350778,0.9543292102759277,0.9542365903948156,0.9546127394877477,0.9499072356215214,0.9516728624535316,0.9301470588235294,0.947565543071161,0.9537223340040242,0.9442231075697212,0.9846743295019157,0.9734848484848485,1.2699434757232666,,,,0.30943396226415093,0.2830188679245283,0.7020393888905363,0.7301562285583203,0.2970152425730737,0.14688025414943695,265,53,0.30943396226415093,0.1811320754716981,0.4339622641509434,0.07547169811320754,0.801311475409836,0.8213114754098361,0.8563772697624613,0.3721494486601198,0.7410339893107419,0.8882547914981842,3050,610,0.801311475409836,0.0019672131147540984,0.18524590163934426,0.011475409836065573
E001,ResNet18,43,2026-08-sweep-a,3a0406b536e7,2c74ecb2c490,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,7,0.9667461534514162,0.9676498572787822,0.9673599188297434,0.967658618333501,0.9701492537313433,0.966542750929368,0.9504587155963303,0.9700374531835206,0.9595141700404858,0.9442231075697212,0.9905123339658444,0.9886363636363636,1.2225964069366455,,,,0.46037735849056605,0.5094339622641509,0.6769203336733692,0.7902295110400703,0.3977023147966906,0.3494819104671478,265,53,0.46037735849056605,0.19245283018867926,0.20754716981132076,0.13962264150943396,0.6331147540983607,0.6508196721311476,0.7395000895320392,0.6613407066544931,0.5503557815821871,0.6045236587524414,3050,610,0.6331147540983607,0.012786885245901639,0.23114754098360657,0.12295081967213115
E001,ResNet18,44,2026-08-sweep-a,a057978ac883,edb79337791d,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,4,0.9660185291296892,0.9714557564224549,0.9711686020807229,0.9714697976994604,0.9738805970149254,0.9702602230483272,0.9541284403669725,0.9737827715355806,0.9635627530364372,0.9482071713147411,0.9943074003795066,0.9924242424242424,1.1724852323532104,,,,0.32452830188679244,0.32075471698113206,0.7272932134709268,0.6810240103665472,0.3320311409218911,0.14744539558887482,265,53,0.32452830188679244,0.19622641509433963,0.11320754716981132,0.3660377358490566,0.6540983606557377,0.6540983606557377,0.7512266432261858,0.6059175425611699,0.5808403739046638,0.6432000398635864,3050,610,0.6540983606557377,0.006885245901639345,0.27967213114754097,0.05934426229508197
E001,ResNet18,45,2026-08-sweep-a,75a89d13c2ac,4ada5433daf9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,12,0.9723972226026636,0.972407231208373,0.9719434742912476,0.9723142220762209,0.9737827715355806,0.966542750929368,0.96,0.9887640449438202,0.9611451942740287,0.9362549800796812,0.994328922495274,0.9962121212121212,1.3113298416137695,,,,0.5924528301886792,0.6226415094339622,0.7669553852306222,0.5756583024524025,0.5425444736445261,0.6382623314857483,265,53,0.5924528301886792,0.10943396226415095,0.17358490566037735,0.12452830188679245,0.661311475409836,0.6786885245901639,0.8218716161466035,0.44417378338678126,0.6159231550054812,0.7469808757305145,3050,610,0.661311475409836,0.0042622950819672135,0.29868852459016393,0.035737704918032784
E001,ResNet18,46,2026-08-sweep-a,11aab7630af1,402910a2b6fd,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,3,0.9610346242875366,0.9647954329210275,0.964845287713135,0.9650036132349487,0.9588014981273408,0.9516728624535316,0.9485294117647058,0.9662921348314607,0.9660678642714571,0.9641434262948207,0.9866156787762906,0.9772727272727273,1.1519238948822021,,,,0.32452830188679244,0.3018867924528302,0.6958283079120348,0.7486962329728072,0.32236987269211137,0.20595212280750275,265,53,0.32452830188679244,0.16981132075471697,0.37735849056603776,0.12830188679245283,0.6219672131147541,0.6360655737704918,0.7493905672284423,0.6255349334410576,0.562692863977619,0.6063039302825928,3050,610,0.6219672131147541,0.006885245901639345,0.3583606557377049,0.012786885245901639
E002,EfficientNet-B0,42,2026-08-sweep-a,d198a69817a6,eec399d181ee,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,11,0.9820326108579951,0.9743101807802094,0.9741529713388083,0.9743830498020529,0.9701492537313433,0.966542750929368,0.9650092081031307,0.9812734082397003,0.9737373737373738,0.9601593625498008,0.9886363636363636,0.9886363636363636,1.274009346961975,,,,0.5962264150943396,0.660377358490566,0.7552997084158771,0.6298405924488136,0.5314228519841255,0.5725467801094055,265,53,0.5962264150943396,0.10943396226415095,0.24528301886792453,0.04905660377358491,0.4577049180327869,0.45901639344262296,0.8631743008680031,0.34431795647589825,0.4643477549047955,0.359183132648468,3050,610,0.4577049180327869,0.00819672131147541,0.5236065573770492,0.010491803278688525
E002,EfficientNet-B0,43,2026-08-sweep-a,52d2ee49ec84,62906d51c9cd,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,11,0.9735613134908818,0.9647954329210275,0.9645125239353678,0.9648847091660329,0.948905109489051,0.966542750929368,0.9586466165413534,0.9550561797752809,0.963265306122449,0.9402390438247012,0.9887218045112782,0.9962121212121212,1.3075844049453735,,,,0.22264150943396227,0.22641509433962265,0.7670271575450898,0.5997526529119249,0.22679216148989892,0.07055291533470154,265,53,0.22264150943396227,0.12452830188679245,0.2188679245283019,0.4339622641509434,0.6118032786885246,0.6344262295081967,0.8360439942410735,0.43075129762274056,0.5833709693512609,0.7162501215934753,3050,610,0.6118032786885246,0.015081967213114755,0.26754098360655737,0.10557377049180328
E002,EfficientNet-B0,44,2026-08-sweep-a,b6adecd59871,1d83492aeebf,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,9,0.9773779170652126,0.9628924833491912,0.9626427522238498,0.9632321634201334,0.9586466165413534,0.9479553903345725,0.9405405405405406,0.9775280898876404,0.963265306122449,0.9402390438247012,0.9904761904761905,0.9848484848484849,1.1760013103485107,,,,0.38113207547169814,0.39622641509433965,0.7259235732960251,0.6866476437511232,0.35220538037971877,0.22686238586902618,265,53,0.38113207547169814,0.21132075471698114,0.18867924528301888,0.2188679245283019,0.5255737704918033,0.5344262295081967,0.7950278689529074,0.5234723684025555,0.5097702693329894,0.49324503540992737,3050,610,0.5255737704918033,0.017704918032786884,0.40557377049180326,0.051147540983606556
E002,EfficientNet-B0,45,2026-08-sweep-a,423dedd2d600,96664edbfc80,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,4,0.9726598579966116,0.9657469077069457,0.965644723149165,0.966102354147641,0.9619771863117871,0.9405204460966543,0.9443447037701975,0.9850187265917603,0.9676113360323887,0.952191235059761,0.9904761904761905,0.9848484848484849,1.0700377225875854,,,,0.3132075471698113,0.3018867924528302,0.6913523948417519,0.7973127714820639,0.27718647981659983,0.14452369511127472,265,53,0.3132075471698113,0.1018867924528302,0.2188679245283019,0.3660377358490566,0.4524590163934426,0.4426229508196721,0.7367659653503387,0.6764180685490888,0.43778468564977885,0.35391634702682495,3050,610,0.4524590163934426,0.007868852459016393,0.48622950819672134,0.053442622950819675
E002,EfficientNet-B0,46,2026-08-sweep-a,2e2b35191aae,2e6a8398ffb8,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,14,0.980151546156277,0.9676498572787822,0.9674053667300742,0.9678447182956716,0.9659090909090909,0.9479553903345725,0.9477477477477477,0.9850187265917603,0.9634146341463414,0.9442231075697212,0.9943074003795066,0.9924242424242424,1.3039878606796265,,,,0.3283018867924528,0.3584905660377358,0.7134689653819462,0.711197924121404,0.3144333343556423,0.16562847793102264,265,53,0.3283018867924528,0.22641509433962265,0.15471698113207547,0.29056603773584905,0.521311475409836,0.5327868852459017,0.8264364227212844,0.4545076811045533,0.5059930664330771,0.49907882511615753,3050,610,0.521311475409836,0.016065573770491802,0.3980327868852459,0.06459016393442622
