experiment_id,architecture,seed,n_test,internal_glioma_rate,internal_off_target_glioma_rate,internal_glioma_recall,internal_mean_glioma_prob,d3c_glioma_rate,d3b_glioma_rate
E001,ResNet18,42,1051,0.25689819219790677,0.017902813299232736,0.9516728624535316,0.26439817971669727,0.801311475409836,0.30943396226415093
E001,ResNet18,43,1051,0.25404376784015226,0.008951406649616368,0.966542750929368,0.25824741445211974,0.6331147540983607,0.46037735849056605
E001,ResNet18,44,1051,0.25404376784015226,0.0076726342710997444,0.9702602230483272,0.2582432515303681,0.6540983606557377,0.32452830188679244
E001,ResNet18,45,1051,0.2521408182683159,0.00639386189258312,0.966542750929368,0.2527144818935528,0.661311475409836,0.5924528301886792
E001,ResNet18,46,1051,0.2521408182683159,0.011508951406649617,0.9516728624535316,0.2572104821577351,0.6219672131147541,0.32452830188679244
E002,EfficientNet-B0,42,1051,0.25404376784015226,0.008951406649616368,0.966542750929368,0.2564945555171424,0.4577049180327869,0.5962264150943396
E002,EfficientNet-B0,43,1051,0.2654614652711703,0.024296675191815855,0.966542750929368,0.26259841219948316,0.6118032786885246,0.22264150943396227
E002,EfficientNet-B0,44,1051,0.25023786869647957,0.010230179028132993,0.9479553903345725,0.25237663405311456,0.5255737704918033,0.38113207547169814
E002,EfficientNet-B0,45,1051,0.2445290199809705,0.005115089514066497,0.9405204460966543,0.2470045758328677,0.4524590163934426,0.3132075471698113
E002,EfficientNet-B0,46,1051,0.24643196955280686,0.005115089514066497,0.9479553903345725,0.24723454574319004,0.521311475409836,0.3283018867924528
E003,ViT-B/16,42,1051,0.24643196955280686,0.008951406649616368,0.9368029739776952,0.24710146219427245,0.46295081967213114,0.23773584905660378
E003,ViT-B/16,43,1051,0.26450999048525214,0.024296675191815855,0.9628252788104089,0.26438109320943726,0.21016393442622952,0.24528301886792453
E003,ViT-B/16,44,1051,0.24928639391056137,0.008951406649616368,0.9479553903345725,0.24996927361600552,0.20852459016393443,0.3283018867924528
E003,ViT-B/16,45,1051,0.26736441484300666,0.028132992327365727,0.9628252788104089,0.2637739321391138,0.25016393442622953,0.2830188679245283
E003,ViT-B/16,46,1051,0.25499524262607043,0.016624040920716114,0.9479553903345725,0.25245771335065886,0.1855737704918033,0.1509433962264151
