epoch,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.22811798260972757,0.23145039741866155,0.9189244245263801,0.9196164077768213,0.9198072647986525,0.9154795821462488,0.9159488166407987,0.9164324192019306
2,0.08513843046034954,0.17204129877203947,0.9733143206355673,0.973558929685859,0.9735439092750386,0.9439696106362773,0.9441566911226896,0.9442467952628155
3,0.08054079901617507,0.2593651611040853,0.973110613159503,0.9734371386907389,0.9734146006197926,0.9335232668566001,0.9330980737887398,0.9333178381869147
4,0.05951673927210176,0.2998775393690592,0.9820737421063354,0.9821889537344822,0.9822195943254992,0.9202279202279202,0.9205191847285954,0.9203604115417003
5,0.0895394049404634,0.15743092598140607,0.9682216337339581,0.9684885654725344,0.968461601667672,0.9667616334283001,0.9664409766064247,0.9667357244229552
6,0.05150442981205002,0.17307270449256315,0.9806477897738847,0.980820304455867,0.9807998011378399,0.9525166191832859,0.9520053700572357,0.9527174769461821
7,0.02865002258114644,0.14570640584768804,0.9914442860052964,0.9915242358568367,0.9915254175754032,0.9582146248812915,0.9579027112285957,0.9580651085898817
8,0.031040503642030242,0.14499616709689045,0.9892035037685883,0.9893281874594128,0.9893217242675234,0.9534662867996201,0.9530112930235716,0.953520678729084
9,0.02071158591603618,0.17648533251886553,0.9918517009574251,0.9919734528042923,0.9919629386575628,0.9525166191832859,0.9521378276202833,0.9526509214291509
10,0.051902878271164646,0.22526489785347922,0.980851497249949,0.9809777966130151,0.9809841568151938,0.932573599240266,0.9317360635201349,0.9324500479977548
