run_id,epoch,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
2026-08-frozen-a,1,0.2630709159575186,0.1826041210071314,0.9046649012018741,0.9056011032396608,0.9053194818887482,0.929724596391263,0.9298536472166732,0.9309435726568102
2026-08-frozen-a,2,0.09821765427662632,0.17131080552723332,0.9663882664493787,0.9667166056169838,0.966752196372424,0.9392212725546059,0.93921570136874,0.9403173877647613
2026-08-frozen-a,3,0.0505644913453948,0.16605614944284203,0.9826848645345284,0.9829046791159296,0.9828781247802523,0.9449192782526116,0.9450859955101514,0.9448816111155738
2026-08-frozen-a,4,0.0555260805020412,0.18487846067375155,0.9818700346302709,0.9820294505496776,0.9820764697655726,0.9515669515669516,0.9515285610156313,0.9515320003569365
2026-08-frozen-a,5,0.03928613684100874,0.20682735923511406,0.9869627215318802,0.9870700569802335,0.987073808136091,0.9525166191832859,0.9524648491657995,0.9530989598121675
2026-08-frozen-a,6,0.03276794117313454,0.14750623122275103,0.9892035037685883,0.9893516741382687,0.9893389704366508,0.9658119658119658,0.9655878482729062,0.9659831604350778
2026-08-frozen-a,7,0.017069532456858067,0.167715969633449,0.9951110205744551,0.9951683462637912,0.9951717197352672,0.9582146248812915,0.9580763490983919,0.958685997915363
2026-08-frozen-a,8,0.023587267304984838,0.18621308081195198,0.9926665308616827,0.9927499661254363,0.9927475598195202,0.9544159544159544,0.9542894715569306,0.9545596933628788
2026-08-frozen-a,9,0.017593342416257086,0.18580330461254813,0.9938887757180689,0.9939334699013809,0.9939359425274678,0.9610636277302944,0.9607113211099878,0.9611524344011367
2026-08-frozen-a,10,0.013055394855543233,0.18579154246701643,0.9963332654308413,0.9963604822212626,0.996348636710026,0.9553656220322887,0.9549401700664277,0.9553950328296033
2026-08-frozen-a,11,0.017360573768540593,0.17779806385069719,0.9936850682420045,0.9937225278440043,0.9937308076269243,0.9572649572649573,0.9570286982202516,0.9572701199170307
