run_id,epoch,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
2026-08-sweep-a,1,0.2814701433566904,0.1781597417785458,0.8971277245874923,0.8982476585083319,0.8975258908500695,0.936372269705603,0.9366512270187421,0.9372891063769394
2026-08-sweep-a,2,0.09985804681420132,0.1419006271353248,0.96598085149725,0.9663269945994533,0.9663599838265721,0.9553656220322887,0.955148552085322,0.9556685795486037
2026-08-sweep-a,3,0.05973941970363875,0.1778578456041933,0.9800366673456916,0.9802612097346162,0.9802133389680554,0.956315289648623,0.9558273484260167,0.9563908008025822
2026-08-sweep-a,4,0.04729653685889648,0.18297709737252532,0.9826848645345284,0.9828985230862334,0.9828827587616764,0.949667616334283,0.9486741016421785,0.9491598050587216
2026-08-sweep-a,5,0.03527945035339664,0.18911653462751413,0.9898146261967814,0.9899306244486199,0.9899539482709135,0.9506172839506173,0.950320860910455,0.9513349469518286
2026-08-sweep-a,6,0.025687067797925435,0.17762485096993497,0.9914442860052964,0.9915221193804502,0.9915402601872134,0.9525166191832859,0.9517271208574929,0.9522496555793709
2026-08-sweep-a,7,0.02779386920828268,0.11338331936509238,0.992870238337747,0.9929486840741543,0.9929394303285164,0.9667616334283001,0.9664686541171226,0.9667461534514162
2026-08-sweep-a,8,0.02150744644318709,0.15863459233587285,0.9916479934813608,0.991736139452675,0.9917420248274134,0.9582146248812915,0.9579927689612424,0.9585913342032502
2026-08-sweep-a,9,0.020210900680228603,0.2051337586342636,0.9932776532898757,0.9933234014317323,0.9933301177108286,0.9506172839506173,0.9498753463562886,0.9503948608829242
2026-08-sweep-a,10,0.01576107398379745,0.13456136316542158,0.9936850682420045,0.9937307515619769,0.9937310680595619,0.9620132953466287,0.9615222597733555,0.9620726575769616
2026-08-sweep-a,11,0.012458856745238306,0.13125379882126706,0.9963332654308413,0.9963687547273453,0.9963709007924972,0.9629629629629629,0.962813772380362,0.96314290665713
2026-08-sweep-a,12,0.01976770998799654,0.20712794923707348,0.9934813607659401,0.9935643067104816,0.9935519023963237,0.9553656220322887,0.9545498640156853,0.9552085342902907
