seed,term,estimate_log_odds,std_error,z,p_value,odds_ratio,or_ci_low,or_ci_high,patient_sd,icc,converged,n_observations,n_patients
42,intercept,2.3055966677745063,0.10612185176556028,21.725937018776573,1.1668109927955955e-104,10.03016114127507,8.146608117316415,12.349204855711724,2.206113678176655,0.5966719992091827,True,9150,610
42,model[E002],-2.570684934287018,0.08273878339002155,-31.06989043057463,6.146791534158906e-212,0.07648314155332762,0.06503368119014484,0.08994832884768031,2.206113678176655,0.5966719992091827,True,9150,610
42,model[E003],-2.5348700343934802,0.08251137302224582,-30.7214622850847,2.94227230988286e-207,0.07927202123158579,0.06743511820729697,0.09318665877953497,2.206113678176655,0.5966719992091827,True,9150,610
43,intercept,1.0169306640051035,0.11984892881858691,8.485104322829722,2.1552528445221054e-17,2.764695946988985,2.1859075086412374,3.496737006978195,2.5905250986890036,0.6710358332023858,True,9150,610
43,model[E002],-0.17027689861336287,0.07245619720938591,-2.3500667323361175,0.018770045592119963,0.8434312393186297,0.7317704283226727,0.9721303675650577,2.5905250986890036,0.6710358332023858,True,9150,610
43,model[E003],-3.522043172684309,0.099733569245391,-35.31452047021845,3.5154464869517076e-273,0.0295390201506596,0.024294206371295077,0.03591612329810631,2.5905250986890036,0.6710358332023858,True,9150,610
44,intercept,1.0970488620816732,0.12901435580407283,8.503308451562571,1.84262458294147e-17,2.9953133847847297,2.3260821444336,3.8570874612234336,2.4391436510875764,0.6439263000857313,True,9150,610
44,model[E002],-0.9565973765414274,0.0719472256324687,-13.295820208941167,2.4477425772120017e-40,0.3841979453447166,0.3336671470315914,0.4423811649431773,2.4391436510875764,0.6439263000857313,True,9150,610
44,model[E003],-3.5525303706693325,0.09637205261230934,-36.86266167807634,1.833331027982342e-297,0.02865204754976976,0.02372048817346457,0.0346088926497149,2.4391436510875764,0.6439263000857313,True,9150,610
45,intercept,1.2470414071848417,0.12153987630142571,10.260347839190729,1.0632305456337235e-24,3.4800317147711506,2.7423840273443325,4.416092208479171,2.5836451115916352,0.66986067673505,True,9150,610
45,model[E002],-1.6544093711584626,0.07853931345670195,-21.06472922087006,1.6758123703381067e-98,0.1912049535220243,0.16392543845310176,0.22302416633046807,2.5836451115916352,0.66986067673505,True,9150,610
45,model[E003],-3.345071328787432,0.09395000521943506,-35.60480194731751,1.1806330274466308e-277,0.035257700178918605,0.029328077164047717,0.042386189007658406,2.5836451115916352,0.66986067673505,True,9150,610
46,intercept,0.8780234774410278,0.12813101681078332,6.852544366659039,7.2547875366786305e-12,2.40613921491927,1.8717827092664885,3.0930438094714017,2.5513466203965036,0.6642730556512404,True,9150,610
46,model[E002],-0.778646579179959,0.07269342678932988,-10.711375341219306,9.001447434203297e-27,0.4590268475765557,0.39807172406162283,0.5293157842164459,2.5513466203965036,0.6642730556512404,True,9150,610
46,model[E003],-3.6825787429007417,0.10146181913094432,-36.29521700323635,1.924917549511667e-288,0.025158015061211403,0.02062110411965324,0.030693105381147886,2.5513466203965036,0.6642730556512404,True,9150,610
