experiment_id,architecture,seed,run_id,test_macro_f1,d3c_glioma_rate,d3c_slices,d3c_patients
E001,ResNet18,42,2026-08-sweep-a,0.9546127394877477,0.801311475409836,3050,610
E001,ResNet18,43,2026-08-sweep-a,0.967658618333501,0.6331147540983607,3050,610
E001,ResNet18,44,2026-08-sweep-a,0.9714697976994604,0.6540983606557377,3050,610
E001,ResNet18,45,2026-08-sweep-a,0.9723142220762209,0.661311475409836,3050,610
E001,ResNet18,46,2026-08-sweep-a,0.9650036132349487,0.6219672131147541,3050,610
E002,EfficientNet-B0,42,2026-08-sweep-a,0.9743830498020529,0.4577049180327869,3050,610
E002,EfficientNet-B0,43,2026-08-sweep-a,0.9648847091660329,0.6118032786885246,3050,610
E002,EfficientNet-B0,44,2026-08-sweep-a,0.9632321634201334,0.5255737704918033,3050,610
E002,EfficientNet-B0,45,2026-08-sweep-a,0.966102354147641,0.4524590163934426,3050,610
E002,EfficientNet-B0,46,2026-08-sweep-a,0.9678447182956716,0.521311475409836,3050,610
E003,ViT-B/16,42,2026-08-sweep-a,0.9536706659717851,0.46295081967213114,3050,610
E003,ViT-B/16,43,2026-08-sweep-a,0.9564624103224699,0.21016393442622952,3050,610
E003,ViT-B/16,44,2026-08-sweep-a,0.9588444311684694,0.20852459016393443,3050,610
E003,ViT-B/16,45,2026-08-sweep-a,0.9564200495238833,0.25016393442622953,3050,610
E003,ViT-B/16,46,2026-08-sweep-a,0.95290738795432,0.1855737704918033,3050,610
