experiment_id,architecture,seed,glioma_rate,ci_low,ci_high,ci_width,icc,n_patients,n_slices
E001,ResNet18,42,0.801311475409836,0.7731147540983606,0.8278688524590164,0.05475409836065581,0.6637029606663021,610,3050
E001,ResNet18,43,0.6331147540983607,0.600655737704918,0.6645983606557377,0.06394262295081976,0.6291979069673763,610,3050
E001,ResNet18,44,0.6540983606557377,0.6226229508196721,0.6852459016393443,0.06262295081967217,0.5946957722576246,610,3050
E001,ResNet18,45,0.661311475409836,0.6301557377049181,0.6921393442622951,0.061983606557377,0.622030110533981,610,3050
E001,ResNet18,46,0.6219672131147541,0.5908196721311475,0.6547622950819673,0.06394262295081976,0.6302006834755984,610,3050
E002,EfficientNet-B0,42,0.4577049180327869,0.4245901639344262,0.4914754098360656,0.06688524590163936,0.6787459759706413,610,3050
E002,EfficientNet-B0,43,0.6118032786885246,0.578032786885246,0.6449180327868852,0.06688524590163925,0.6442486387793026,610,3050
E002,EfficientNet-B0,44,0.5255737704918033,0.49277868852459017,0.5586885245901639,0.06590983606557377,0.6486747084608778,610,3050
E002,EfficientNet-B0,45,0.4524590163934426,0.41900819672131145,0.48427049180327864,0.06526229508196718,0.6311869324900888,610,3050
E002,EfficientNet-B0,46,0.521311475409836,0.4878688524590164,0.5540983606557377,0.0662295081967213,0.6896544814075175,610,3050
E003,ViT-B/16,42,0.46295081967213114,0.4337704918032787,0.4934508196721311,0.05968032786885241,0.48883400885387623,610,3050
E003,ViT-B/16,43,0.21016393442622952,0.18458196721311476,0.23672131147540984,0.05213934426229508,0.5698754031142419,610,3050
E003,ViT-B/16,44,0.20852459016393443,0.1832704918032787,0.23607377049180325,0.05280327868852455,0.6061071612436544,610,3050
E003,ViT-B/16,45,0.25016393442622953,0.2213032786885246,0.27672131147540985,0.05541803278688526,0.5503959113530138,610,3050
E003,ViT-B/16,46,0.1855737704918033,0.16163114754098362,0.210827868852459,0.04919672131147537,0.5470775200198135,610,3050
