experiment_id,architecture,seed,test_macro_f1,best_epoch,epochs_trained,best_val_macro_f1,temperature,d3c_glioma_rate,d3b_glioma_rate,d3c_mean_confidence,d3c_mean_entropy,d3c_pred_glioma,d1_recall_glioma,d1_pred_share_glioma,d3c_pred_meningioma,d1_recall_meningioma,d1_pred_share_meningioma,d3c_pred_notumor,d1_recall_notumor,d1_pred_share_notumor,d3c_pred_pituitary,d1_recall_pituitary,d1_pred_share_pituitary
E001,ResNet18,42,0.9546127394877477,6,11,0.9659831604350778,1.2699434757232666,0.801311475409836,0.30943396226415093,0.8563772697624613,0.3721494486601198,0.801311475409836,0.9516728624535316,0.25689819219790677,0.0019672131147540984,0.947565543071161,0.263558515699334,0.18524590163934426,0.9442231075697212,0.2340627973358706,0.011475409836065573,0.9734848484848485,0.24548049476688868
E001,ResNet18,43,0.967658618333501,7,12,0.9667461534514162,1.2225964069366455,0.6331147540983607,0.46037735849056605,0.7395000895320392,0.6613407066544931,0.6331147540983607,0.966542750929368,0.25404376784015226,0.012786885245901639,0.9700374531835206,0.26450999048525214,0.23114754098360657,0.9442231075697212,0.23120837297811608,0.12295081967213115,0.9886363636363636,0.25023786869647957
E001,ResNet18,44,0.9714697976994604,4,9,0.9660185291296892,1.1724852323532104,0.6540983606557377,0.32452830188679244,0.7512266432261858,0.6059175425611699,0.6540983606557377,0.9702602230483272,0.25404376784015226,0.006885245901639345,0.9737827715355806,0.26450999048525214,0.27967213114754097,0.9482071713147411,0.23120837297811608,0.05934426229508197,0.9924242424242424,0.25023786869647957
E001,ResNet18,45,0.9723142220762209,12,17,0.9723972226026636,1.3113298416137695,0.661311475409836,0.5924528301886792,0.8218716161466035,0.44417378338678126,0.661311475409836,0.966542750929368,0.2521408182683159,0.0042622950819672135,0.9887640449438202,0.269267364414843,0.29868852459016393,0.9362549800796812,0.22645099904852523,0.035737704918032784,0.9962121212121212,0.2521408182683159
E001,ResNet18,46,0.9650036132349487,3,8,0.9610346242875366,1.1519238948822021,0.6219672131147541,0.32452830188679244,0.7493905672284423,0.6255349334410576,0.6219672131147541,0.9516728624535316,0.2521408182683159,0.006885245901639345,0.9662921348314607,0.263558515699334,0.3583606557377049,0.9641434262948207,0.23786869647954328,0.012786885245901639,0.9772727272727273,0.24643196955280686
E002,EfficientNet-B0,42,0.9743830498020529,11,16,0.9820326108579951,1.274009346961975,0.4577049180327869,0.5962264150943396,0.8631743008680031,0.34431795647589825,0.4577049180327869,0.966542750929368,0.25404376784015226,0.00819672131147541,0.9812734082397003,0.2626070409134158,0.5236065573770492,0.9601593625498008,0.23215984776403426,0.010491803278688525,0.9886363636363636,0.25118934348239774
E002,EfficientNet-B0,43,0.9648847091660329,11,16,0.9735613134908818,1.3075844049453735,0.6118032786885246,0.22264150943396227,0.8360439942410735,0.43075129762274056,0.6118032786885246,0.966542750929368,0.2654614652711703,0.015081967213114755,0.9550561797752809,0.2521408182683159,0.26754098360655737,0.9402390438247012,0.2274024738344434,0.10557377049180328,0.9962121212121212,0.25499524262607043
E002,EfficientNet-B0,44,0.9632321634201334,9,14,0.9773779170652126,1.1760013103485107,0.5255737704918033,0.38113207547169814,0.7950278689529074,0.5234723684025555,0.5255737704918033,0.9479553903345725,0.25023786869647957,0.017704918032786884,0.9775280898876404,0.27402473834443386,0.40557377049180326,0.9402390438247012,0.2274024738344434,0.051147540983606556,0.9848484848484849,0.2483349191246432
E002,EfficientNet-B0,45,0.966102354147641,4,9,0.9726598579966116,1.0700377225875854,0.4524590163934426,0.3132075471698113,0.7367659653503387,0.6764180685490888,0.4524590163934426,0.9405204460966543,0.2445290199809705,0.007868852459016393,0.9850187265917603,0.2759276879162702,0.48622950819672134,0.952191235059761,0.23120837297811608,0.053442622950819675,0.9848484848484849,0.2483349191246432
E002,EfficientNet-B0,46,0.9678447182956716,14,19,0.980151546156277,1.3039878606796265,0.521311475409836,0.3283018867924528,0.8264364227212844,0.4545076811045533,0.521311475409836,0.9479553903345725,0.24643196955280686,0.016065573770491802,0.9850187265917603,0.27402473834443386,0.3980327868852459,0.9442231075697212,0.22930542340627974,0.06459016393442622,0.9924242424242424,0.25023786869647957
E003,ViT-B/16,42,0.9536706659717851,12,17,0.9629611799973506,1.2579891681671143,0.46295081967213114,0.23773584905660378,0.8041195082371352,0.48881493825814326,0.46295081967213114,0.9368029739776952,0.24643196955280686,0.14950819672131146,0.9625468164794008,0.2721217887725975,0.3347540983606557,0.9282868525896414,0.22454804947668885,0.05278688524590164,0.9848484848484849,0.25689819219790677
E003,ViT-B/16,43,0.9564624103224699,5,10,0.9601783534590401,1.2185307741165161,0.21016393442622952,0.24528301886792453,0.9017514938702349,0.2542427420858069,0.21016393442622952,0.9628252788104089,0.26450999048525214,0.02721311475409836,0.9588014981273408,0.263558515699334,0.7563934426229508,0.9243027888446215,0.2226450999048525,0.006229508196721312,0.9772727272727273,0.24928639391056137
E003,ViT-B/16,44,0.9588444311684694,5,10,0.9686034051489485,1.2295002937316895,0.20852459016393443,0.3283018867924528,0.8383694144839146,0.40679673547473716,0.20852459016393443,0.9479553903345725,0.24928639391056137,0.05508196721311476,0.9550561797752809,0.25499524262607043,0.6386885245901639,0.9362549800796812,0.23311132254995243,0.09770491803278689,0.9962121212121212,0.2626070409134158
