epoch,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.5032652548172246,0.23369091695416913,0.8433489509064983,0.8449756471769493,0.8423545071291532,0.9173789173789174,0.9174437682788598,0.9193883063059077
2,0.15738336014851434,0.146205251925012,0.9464249337950703,0.9470122049252093,0.9469183029146231,0.9458689458689459,0.9463356558918132,0.9467635106605903
3,0.08892027504493047,0.11083240373323672,0.9727031982073742,0.9730198743276856,0.9729810026217398,0.9582146248812915,0.9584595248684562,0.9587074232476972
4,0.06478026216133691,0.11504172022186453,0.9792218374414341,0.9794855308385767,0.9794575429459329,0.9610636277302944,0.9610735707673798,0.9614542773518651
5,0.05290422125828196,0.0963532281906856,0.9826848645345284,0.9828908524431683,0.9828840887229388,0.9658119658119658,0.9659290030952227,0.9661807192461681
6,0.039511130487914,0.09688539447834237,0.9865553065797514,0.9867085252697757,0.9866912757370504,0.97340930674264,0.9735104967351418,0.9736274787932037
7,0.03203338216994027,0.10807014373772321,0.9900183336728458,0.9900902722447779,0.9901159673035528,0.9724596391263058,0.9725395280781537,0.9726714355035697
8,0.026999558639528794,0.10105554387327159,0.9910368710531676,0.9911269933588642,0.9911019579363043,0.9705603038936372,0.9704787825151526,0.9707085886239308
9,0.026822250510237157,0.12060418316133936,0.9918517009574251,0.9919420141321741,0.9919469580666173,0.9648622981956315,0.9648536969108157,0.9652668316065408
10,0.02011327557705903,0.0983270457830786,0.9920554084334895,0.992114808412829,0.9921363740178674,0.97340930674264,0.9733226205084204,0.9735025295690589
11,0.0207938047047772,0.09069839912375607,0.9930739458138114,0.9931300713737123,0.9931390587498883,0.9724596391263058,0.9722121276499847,0.9724191278103959
