run_id,epoch,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
2026-08-sweep-a,1,0.4700352857896766,0.22884737659893145,0.8459971480953351,0.8470919068589708,0.8468355217131028,0.9116809116809117,0.9117077180626192,0.9125810121154242
2026-08-sweep-a,2,0.15209342014893698,0.13699106923025897,0.9504990833163577,0.9510249646107792,0.9509218113424299,0.9582146248812915,0.9582435922483843,0.9584739882207609
2026-08-sweep-a,3,0.08900423931217068,0.11959749768715412,0.9702587084946017,0.9705689005792875,0.970569523118619,0.9658119658119658,0.9658667915956767,0.9660297972736422
2026-08-sweep-a,4,0.06158282815268725,0.08539664966088754,0.9820737421063354,0.9822612488972395,0.9822506789928301,0.9724596391263058,0.9725182645206754,0.9726350744136407
2026-08-sweep-a,5,0.04288600170519108,0.10552164180609348,0.9843145243430433,0.9844448406239179,0.9844741742443837,0.9648622981956315,0.9647284110662933,0.9651068133918266
2026-08-sweep-a,6,0.04423703192180202,0.0941526876268988,0.985740476675494,0.985895892697563,0.9859153398958995,0.9724596391263058,0.9724557377807546,0.9727412968071624
2026-08-sweep-a,7,0.030913714481865615,0.08723262498723051,0.9906294561010389,0.9907034187292748,0.9907079521905713,0.9753086419753086,0.9751325842221268,0.975377005694941
2026-08-sweep-a,8,0.02620357198894546,0.0903519483668781,0.9930739458138114,0.9931325083629194,0.993128956291808,0.9743589743589743,0.9743843410210828,0.9745637215408298
2026-08-sweep-a,9,0.021202267195029992,0.07326013315557471,0.9938887757180689,0.9939707832529983,0.9939585104502766,0.9772079772079773,0.9771653784719021,0.9773779170652126
2026-08-sweep-a,10,0.018213097200163404,0.09495255395465824,0.9951110205744551,0.9951643946612152,0.9951600398681554,0.9686609686609686,0.9684667042177999,0.9688037887946362
2026-08-sweep-a,11,0.020538220742106875,0.0766622971240095,0.9932776532898757,0.9933664231868682,0.9933656472805587,0.976258309591643,0.9761803816182386,0.9763315649630046
2026-08-sweep-a,12,0.020566213119036676,0.09591143635956877,0.9934813607659401,0.9935497335633494,0.9935661641236136,0.9753086419753086,0.9753067474925474,0.975510078299382
2026-08-sweep-a,13,0.017222079374791588,0.080788168521529,0.9944998981462619,0.9945759777442329,0.9945653562639544,0.976258309591643,0.9761664585016883,0.9763797866580968
2026-08-sweep-a,14,0.014917980772260038,0.08044344458794478,0.9944998981462619,0.994557957281322,0.9945517543733071,0.9753086419753086,0.975069888759803,0.9753575926758928
